series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ICT goods imports (% total goods imports),Nepal,NPL,2.732066605,,,4.49031219,,,,,,5.133119209,6.729447408,5.272071044,4.697431937,3.48914563,4.738785063,4.963077131,5.289037437,5.293914823,
ICT goods imports (% total goods imports),Nigeria,NGA,2.45658426,3.216475168,4.025605797,4.763290288,,,6.282238239,3.889114189,9.485816439,6.676017928,6.619872132,3.910268488,5.544440585,3.58551637,3.915045056,,3.93029187,3.269821837,3.07753689
ICT goods imports (% total goods imports),Norway,NOR,9.861899258,9.855382732,9.152386762,9.051733124,9.472782688,8.769532012,8.5278038,7.765578912,7.068369853,7.670910666,7.454591869,6.925651636,7.075527393,6.908094428,6.858087399,6.617795512,6.880869109,6.504348834,6.665135502
ICT goods imports (% total goods imports),Pakistan,PAK,,,,4.468114373,4.786142462,8.699977239,8.601644089,6.656371674,5.06114947,3.066591997,3.345973156,3.555264101,4.356844017,3.787091462,4.58586713,4.900437038,4.947978992,4.685725476,3.925039345
ICT goods imports (% total goods imports),Panama,PAN,7.565523722,8.876372141,8.465614213,8.479343316,8.161182973,9.075657239,13.19167067,10.05519365,11.0866652,8.456050636,9.571962526,8.084199741,9.056386415,7.497989035,8.678543179,8.091030427,9.25389342,,
ICT goods imports (% total goods imports),Peru,PER,8.891339764,9.295355188,8.168490721,8.896511182,8.755276682,8.353449676,8.65951655,7.100751969,7.795445929,7.683782883,7.496648403,7.425059092,7.836450312,7.846361968,8.998868249,9.577278953,9.693010029,8.862664697,8.314938788
ICT goods imports (% total goods imports),Paraguay,PRY,9.930722013,8.316570496,9.383340347,8.315006221,9.37329375,17.40495068,31.81903375,27.60932578,23.22015964,25.58638932,27.00535783,21.56478436,19.10873073,17.78111426,14.55172583,11.53069699,15.38843639,17.77339567,15.56098228
ICT goods imports (% total goods imports),Poland,POL,9.34800861,9.062387343,8.368833853,7.743371534,7.55468621,7.918655724,8.640071283,7.729397944,8.141993669,9.299083951,9.809824807,7.332689507,8.195762035,8.544450213,8.878404581,9.790281485,9.239819673,9.055424798,8.518208553
ICT goods imports (% total goods imports),Portugal,PRT,7.726781181,8.629640575,8.122878065,8.490792572,7.32749169,8.775067408,8.5975386,8.15901827,7.476288893,6.587163334,5.696760863,5.037952095,5.020115163,4.70183003,4.680647183,4.939640344,5.507350016,5.640153016,5.588935885
ICT goods imports (% total goods imports),Philippines,PHL,38.08247485,42.41096163,51.47693799,48.83364415,48.33323803,45.80530001,44.18326201,42.67737997,33.7032241,33.19878069,31.63433624,13.16044875,24.75043655,23.01210173,20.88897768,27.47470381,23.98217226,19.76251042,22.05721924
ICT goods imports (% total goods imports),Qatar,QAT,4.647249,4.844805699,5.337452242,2.7142489,2.325590244,4.757352431,4.1298792,3.340098178,3.635293376,,4.27948767,,0.000906288,5.569787686,5.573165126,5.766857443,5.444381086,5.407428285,5.077815415
ICT goods imports (% total goods imports),Russian Federation,RUS,3.677394128,5.09698917,5.981996327,5.317112654,6.41817943,7.763694598,8.702826718,8.603915936,7.792436604,7.279129116,8.529893349,7.156679102,7.497341894,6.839560433,7.88483088,9.137801709,8.400065747,8.671640595,9.906400418
ICT goods imports (% total goods imports),Saudi Arabia,SAU,4.152122706,4.875731813,5.224876267,5.662335336,5.275353901,6.654116296,7.002816322,6.830782944,6.47497442,7.494381548,7.346242083,8.181264052,7.437049887,7.42800208,7.445341395,7.478417084,6.482964583,7.698320882,7.518932095
ICT goods imports (% total goods imports),Singapore,SGP,40.80581773,38.64345018,38.9011018,38.86980304,39.20724408,11.27896976,11.26063359,28.86140293,26.57948092,26.59440495,27.54492677,23.03991323,23.03981119,23.90348777,23.72556689,26.97870689,28.09780361,27.88022366,26.61057728
ICT goods imports (% total goods imports),Slovenia,SVN,5.526555834,5.175451864,5.46951192,4.759485243,5.078075801,4.321865669,4.321702048,3.970368148,4.250953686,4.725492276,4.66466086,3.965986068,3.574433894,3.2766575,3.748135935,4.045402304,3.912901697,3.860885784,3.672057865
ICT goods imports (% total goods imports),South Africa,ZAF,12.29157005,11.352763,10.89857215,10.07064003,10.73372003,11.09321828,10.10042283,8.757625782,7.815227918,8.677698334,9.247916627,8.189518532,7.469072699,8.175428398,7.826685737,8.929796199,8.616799417,8.106527319,7.913420115
ICT goods imports (% total goods imports),Spain,ESP,8.47437793,7.768912099,7.025553743,7.024879094,7.240857845,7.232533694,7.340822738,7.384811259,7.910619738,6.458080816,6.682139448,5.23550357,4.621103281,4.540346077,4.59822347,4.978905303,5.065836708,4.858057415,5.151650214
ICT goods imports (% total goods imports),Switzerland,CHE,9.849798026,8.586642233,7.620406713,7.325024546,7.325828601,7.405696645,6.438702247,5.908034928,5.646244455,5.721011189,5.875497626,5.585439531,3.654112254,3.495190737,4.081822068,4.136980411,3.688169955,3.912047837,
ICT goods imports (% total goods imports),Sweden,SWE,14.38962445,12.48895745,11.44501509,10.79959999,11.55375831,11.14349027,10.9523435,9.807415061,9.133780334,10.56874483,11.34388396,10.67239635,9.967472316,9.670601568,9.88601329,10.16939744,9.831585727,9.240402792,9.17086118
ICT goods imports (% total goods imports),Turkey,TUR,10.18108716,6.842075433,6.391211432,6.097623476,6.398030299,6.119947282,5.539812495,5.030735006,3.910621012,5.02477514,4.470659239,3.825902694,4.181303601,4.573095794,5.08772032,5.67136148,6.737620009,6.172782175,4.176497365
ICT goods imports (% total goods imports),United States,USA,17.6557019,15.26125503,14.83563646,14.08095897,14.16979294,13.64447319,13.46385801,12.80473188,11.8362551,14.3971175,14.22462076,12.83810637,12.81327979,12.96091844,12.86420128,13.78118874,14.06206254,14.27534938,13.60394316
ICT goods imports (% total goods imports),United Kingdom,GBR,18.67350764,15.63141637,13.58354282,12.78922631,13.23259605,12.85517212,13.71355594,10.11982441,9.19108914,4.814037557,9.491971338,8.231434526,7.300886478,7.861598177,7.816266855,8.28983038,7.627615285,7.774735384,8.080397471
ICT goods imports (% total goods imports),United Arab Emirates,ARE,,,,,,8.0812703,,4.963989724,4.49809214,,,,10.99109846,3.299573143,4.375522237,4.896530918,5.537272191,17.188166,13.2995709
ICT goods imports (% total goods imports),Uruguay,URY,6.699867018,5.982114307,4.545627934,4.054506064,4.544153079,6.282752578,5.88968378,6.012001273,5.771028532,6.361715633,5.637656894,5.256390139,5.620444964,6.090750799,6.948030452,6.481489102,7.120074347,8.004715166,6.794132264
ICT goods imports (% total goods imports),Vietnam,VNM,4.397408427,4.083235009,3.965359055,4.614520941,5.55588134,6.116527378,6.501456787,7.014864233,6.382377717,8.616068085,8.403725294,10.1745225,16.18493448,19.92947594,19.14080759,21.13008187,22.58836307,25.01485576,
"ICT service exports (% of service exports, BoP)",Albania,ALB,4.550402787,5.686167305,5.659793814,6.582219881,6.859752778,5.869822609,3.268311173,3.346549441,5.974560925,6.063758216,4.112819199,3.844424249,6.417986988,8.021367323,6.59531654,4.980889289,4.746708802,3.042444777,
"ICT service exports (% of service exports, BoP)",Algeria,DZA,,,,,,3.829278022,3.861154446,5.021575999,3.558380926,3.389619798,4.43224111,4.885981895,6.80754642,5.620289684,5.389215748,4.98193364,5.621506287,5.242178858,
"ICT service exports (% of service exports, BoP)",Argentina,ARG,5.837193726,6.949870103,7.098707678,6.555302455,6.143621395,6.315518902,7.122152748,8.031991503,9.659909259,11.26484613,11.00195359,12.42246639,12.31280385,12.64825529,10.77504374,11.15144036,11.14123596,12.58310273,
"ICT service exports (% of service exports, BoP)",Armenia,ARM,12.07278222,15.67162512,13.90369334,10.38342632,11.55819323,11.45168952,9.08892604,10.98794715,13.32855364,12.00005703,12.58380841,7.765211245,6.97127301,7.273831767,8.012978335,8.631511728,10.3543782,10.46207081,
"ICT service exports (% of service exports, BoP)",Australia,AUS,6.075953788,4.603552901,5.273229203,5.104448736,4.73126443,4.096745508,4.114509381,3.907378238,3.755187367,3.716364463,3.42536116,3.353176223,3.365811705,3.959444137,4.143901942,4.174088159,4.229552114,4.326546022,
"ICT service exports (% of service exports, BoP)",Austria,AUT,,,,,,4.994820364,6.547719723,6.551973967,6.604095819,7.190253016,6.997775237,7.555333131,8.663434845,8.994797182,9.524044862,9.402480013,9.927346305,9.770388857,
"ICT service exports (% of service exports, BoP)",Azerbaijan,AZE,6.199377906,4.819015219,6.272330179,5.24232344,6.812411217,4.815903757,0.372731934,0.325885759,3.318762009,3.856814087,3.400157761,2.450708429,1.98315818,2.756308941,2.95820892,1.953516505,1.667425926,1.414031408,
"ICT service exports (% of service exports, BoP)",Barbados,BRB,4.155998088,4.623021451,4.722443166,4.487174962,4.758516901,4.137036762,1.719296208,1.119570362,1.121316721,2.425532976,2.575463535,1.074634797,1.376889463,1.047689107,,,,,
"ICT service exports (% of service exports, BoP)",Belgium,BEL,,,7.20180248,7.01040271,6.791988734,6.987635888,6.931501191,8.07482736,7.112979282,8.118638583,7.818471674,8.912428108,8.516326891,9.385649921,9.425015897,9.982344623,10.12418631,10.72588629,
"ICT service exports (% of service exports, BoP)",Brazil,BRA,0.415220828,3.134874287,1.94680642,4.891928836,2.432366661,2.132512326,1.574136028,1.750996128,2.103897938,1.939913997,1.992676507,1.415410467,1.885032238,1.862338245,3.619274271,4.648262377,5.416637572,6.340778588,
"ICT service exports (% of service exports, BoP)",Bulgaria,BGR,2.314808999,2.769805583,2.296654429,2.01490398,2.65153209,3.958663418,3.83258473,4.195262101,5.534616746,5.389887601,8.805812534,10.03171082,10.08483188,9.87693214,9.986835223,10.75364773,12.16968649,12.30831182,
"ICT service exports (% of service exports, BoP)",Cameroon,CMR,1.216579084,0.423898553,2.467912757,3.34207908,4.804697976,5.791986864,4.166677765,3.292734786,6.595049161,4.825114901,3.238108523,5.185343008,5.893227089,5.39774397,5.274270826,6.318560357,7.217967766,6.789334152,
"ICT service exports (% of service exports, BoP)",Canada,CAN,9.866340996,10.50464826,9.966680725,10.77316747,8.607933249,8.847835546,9.237371086,9.263468388,10.27653479,10.87145664,10.94356158,11.73864917,11.32399246,9.56254113,8.982149675,8.600414998,8.446637752,8.317552912,
"ICT service exports (% of service exports, BoP)",Chile,CHL,5.8947905,4.048437644,5.121682307,4.721551221,4.419948846,3.342719111,2.864783826,2.596316672,2.85927058,3.023619039,2.637929429,2.632275264,3.229037017,2.910265823,3.208206938,3.323971723,3.710941263,3.591073575,
"ICT service exports (% of service exports, BoP)",China,CHN,2.161665332,0.812349488,1.163079229,3.017734062,2.764298239,2.963492739,3.928503362,4.399724556,5.38155153,6.290595176,8.913657667,6.918000888,8.059938437,8.25988435,9.205460245,11.29211056,12.20346461,12.66137268,
"ICT service exports (% of service exports, BoP)",Colombia,COL,8.522523829,8.159410066,7.664611084,7.365877511,7.839799396,7.7160778,7.474800539,7.131497605,6.459620857,6.76447429,5.283277426,5.285664744,5.45945858,4.593814089,3.843498029,4.653163153,4.176478815,4.065953762,
"ICT service exports (% of service exports, BoP)",Croatia,HRV,3.067735428,3.675244732,3.384791317,3.591245488,2.893958157,3.517957589,3.278600975,3.271595933,3.25979575,3.654167472,3.621082876,4.172618904,3.840108349,3.200901771,4.111940591,4.597008065,5.069848229,5.203709412,
"ICT service exports (% of service exports, BoP)",Czech Republic,CZE,2.021276975,3.183749779,2.852101049,1.446336779,2.687310875,7.812916339,8.686845657,8.034580534,8.333686145,9.034835289,8.125728109,9.311907064,10.41015705,11.10195608,11.66128193,11.78985561,13.33132544,13.99906457,
"ICT service exports (% of service exports, BoP)",Cyprus,CYP,2.026066351,2.643400155,2.882062572,2.703205219,4.831448211,4.347479901,4.383325044,4.661387637,8.875022639,9.588358007,7.064497358,,,12.5829277,,12.37201381,14.81916656,15.82236642,
"ICT service exports (% of service exports, BoP)",Denmark,DNK,,,,,,4.691098248,3.949037703,4.039497183,3.793473239,5.000141795,4.596905855,3.827571132,4.411611339,5.330382057,5.563047558,6.03404903,6.484442402,6.478186287,
"ICT service exports (% of service exports, BoP)",Ecuador,ECU,7.140239752,11.03971281,10.97281456,11.59272718,9.843326666,7.864966441,7.247909461,8.057856867,13.5413623,12.62368267,10.95221218,10.01264876,7.947595159,6.139390341,4.69939985,3.686711492,2.470982613,1.421737616,
"ICT service exports (% of service exports, BoP)","Egypt, Arab Rep.",EGY,3.356115475,2.812337569,2.659814167,2.996477919,3.085950157,2.642290304,3.390870495,4.236489265,7.343879833,4.705434065,4.182383333,4.668854104,4.978683132,5.196725351,4.623794388,4.368746123,6.541966779,3.490604188,
"ICT service exports (% of service exports, BoP)",France,FRA,7.165980294,8.365757266,10.29877022,9.583248985,8.826178971,9.70619969,9.757687645,8.428009003,7.133834082,7.701429331,6.994106428,6.387051386,6.770238709,6.678438154,6.931890008,6.735567551,6.689461014,6.682501889,
"ICT service exports (% of service exports, BoP)",Germany,DEU,6.240175809,7.392144115,7.09231229,7.278309001,7.032446099,6.804383554,7.262633793,7.627856133,7.884520773,8.176683134,9.040644307,9.223449542,9.899622995,9.855897016,9.575155876,10.47904252,11.59588209,11.70262855,
"ICT service exports (% of service exports, BoP)",Greece,GRC,1.754090351,1.545048552,1.246010568,1.699073949,1.67656328,1.512118664,1.493540918,1.480137781,1.623252748,2.076277661,2.303537541,2.412210112,2.445174543,2.702060156,2.787095287,2.542763055,3.047014687,2.959286275,
"ICT service exports (% of service exports, BoP)",Hungary,HUN,2.549350957,3.138990968,3.633024985,4.219518376,5.184675613,5.134565164,6.019208726,7.002017435,8.392085405,8.847074457,8.427374706,7.488242447,7.854713529,8.232104377,8.131381971,8.080909202,7.967794807,8.201054929,
"ICT service exports (% of service exports, BoP)",India,IND,30.1274604,45.90882289,47.63804401,51.71264863,44.33615538,43.42335161,43.46014545,44.67283527,47.47618933,52.08831063,46.33554584,44.81928845,46.16538979,48.44138456,47.57933017,48.86700142,47.30074995,42.37510221,
"ICT service exports (% of service exports, BoP)",Ireland,IRL,,,,,,36.61780002,36.15685586,37.62263807,40.32459937,41.14981981,42.54414123,42.55403856,44.80447124,45.07547422,48.51709128,,,43.16504503,
"ICT service exports (% of service exports, BoP)",Iceland,ISL,,,,,,,,,,,,,,4.968078962,5.172678224,5.560726551,5.171458146,4.785790595,
"ICT service exports (% of service exports, BoP)",Israel,ISR,28.16126361,28.85024216,37.00173979,27.34249714,28.65582338,26.95795026,28.9540944,28.26947364,28.55307377,31.97741425,33.96523925,38.54014499,38.79975935,35.85878277,40.98516935,42.16605339,42.94693389,45.60746642,
"ICT service exports (% of service exports, BoP)",Italy,ITA,5.825019453,7.388548188,4.478385733,7.148817541,6.483656979,7.230894692,7.408125799,7.517299727,7.278767294,7.564924539,8.05886926,7.629372312,7.194032658,7.631468282,8.67064912,8.444337945,8.548285414,8.102920795,
"ICT service exports (% of service exports, BoP)",Japan,JPN,3.444391795,3.295142086,2.851821785,2.231950432,1.530354717,1.491638917,1.282065633,1.250223598,1.134041222,1.264714432,1.324009593,1.390853893,1.695115387,1.998469056,1.952851459,1.999040198,2.196124098,2.7021563,
"ICT service exports (% of service exports, BoP)","Korea, Rep.",KOR,0.790013638,0.778513546,0.621150046,0.541938731,0.500832513,0.583524775,1.271486705,1.259014465,1.039371566,1.216961924,1.243298569,1.456166485,1.471673342,2.087991003,2.67545886,3.591641316,3.922513767,4.794467862,
"ICT service exports (% of service exports, BoP)",Moldova,MDA,8.681759099,8.632193495,8.541187698,8.648610172,11.18892165,13.09064826,13.46664175,12.72221836,12.55051546,15.63847259,18.3216375,16.6209149,17.52533867,16.01606946,16.28407837,16.5087419,14.47374589,13.9150887,
"ICT service exports (% of service exports, BoP)",Morocco,MAR,2.84466372,3.486413818,4.266978923,3.669162771,4.263243931,3.53934496,3.403172538,2.854536296,5.149055387,6.183766339,6.80708463,7.172713866,7.144263162,7.958880817,9.78202986,9.786373876,9.395336617,8.612901287,
"ICT service exports (% of service exports, BoP)",Netherlands,NLD,5.230772001,5.343162612,5.081336548,8.317741013,8.997070349,9.023447352,9.004494406,9.009601214,9.025021583,9.004784387,8.865316909,8.950905042,9.069605614,8.831077056,8.377372509,8.678320814,9.867649288,9.420529505,
"ICT service exports (% of service exports, BoP)",Nepal,NPL,,,2.648849452,4.614863353,6.893433185,10.43808783,8.988827232,7.462502183,6.157879588,5.550557532,8.616367891,11.39201258,25.01518013,30.06553021,25.8492878,24.03625228,23.97116729,18.03981723,
"ICT service exports (% of service exports, BoP)",Nigeria,NGA,,,,,,1.127805996,1.024485994,1.85533854,1.317106572,1.649760727,1.539589672,1.475931219,2.104747216,2.155808029,2.668948345,2.49294558,3.137965269,5.756224368,
